Ziehungstag;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Stern1;Stern2;Rang;Zahlen;Sterne;Europa;Österreich;Quoten;
;;;;;;;;2;5;1;           2;           0;     446.486,90;
;;;;;;;;3;5;0;          11;           1;      18.972,90;
;;;;;;;;4;4;2;          65;           6;       1.000,00;
;;;;;;;;5;4;1;       1.295;          53;          92,40;
;;;;;;;;6;3;2;       1.942;          93;          65,10;
;;;;;;;;7;4;0;       2.780;         136;          31,90;
;;;;;;;;8;2;2;      29.277;       1.452;          15,10;
;;;;;;;;9;3;1;      48.033;       2.363;          10,30;
;;;;;;;;10;3;0;     103.245;       5.221;           8,90;
;;;;;;;;11;1;2;     158.336;       7.957;           7,00;
;;;;;;;;12;2;1;     653.739;      31.883;           5,30;
;;;;;;;;13;2;0;   1.414.630;      69.923;           4,00;
Di. 28.02.2023;12;29;33;37;47;5;10;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           5;           0;     104.365,10;
;;;;;;;;3;5;0;          10;           2;      12.195,90;
;;;;;;;;4;4;2;          29;           4;       1.309,90;
;;;;;;;;5;4;1;         522;          37;         134,00;
;;;;;;;;6;3;2;       1.167;          67;          63,30;
;;;;;;;;7;4;0;       1.123;          74;          46,20;
;;;;;;;;8;2;2;      16.880;       1.096;          15,30;
;;;;;;;;9;3;1;      23.943;       1.476;          12,10;
;;;;;;;;10;3;0;      55.554;       3.319;           9,70;
;;;;;;;;11;1;2;      89.949;       5.672;           7,20;
;;;;;;;;12;2;1;     345.266;      20.656;           5,90;
;;;;;;;;13;2;0;     795.288;      47.034;           4,10;
Fr. 03.03.2023;3;6;8;24;50;10;11;1;5;2;JP;JP; 130.000.000,00;
;;;;;;;;2;5;1;           9;           0;     150.850,40;
;;;;;;;;3;5;0;          23;           0;      13.795,90;
;;;;;;;;4;4;2;          71;           8;       1.392,00;
;;;;;;;;5;4;1;       1.574;         100;         115,60;
;;;;;;;;6;3;2;       2.768;         166;          69,50;
;;;;;;;;7;4;0;       4.170;         203;          32,40;
;;;;;;;;8;2;2;      38.046;       2.170;          17,70;
;;;;;;;;9;3;1;      63.197;       3.235;          11,90;
;;;;;;;;10;3;0;     175.575;       7.942;           7,90;
;;;;;;;;11;1;2;     197.887;      11.047;           8,50;
;;;;;;;;12;2;1;     887.391;      44.683;           6,00;
;;;;;;;;13;2;0;   2.391.851;     108.242;           3,60;
Di. 07.03.2023;11;13;24;35;50;6;11;1;5;2;           1;           0; 144.966.361,00;
;;;;;;;;2;5;1;           5;           0;     186.010,40;
;;;;;;;;3;5;0;          11;           0;      19.760,70;
;;;;;;;;4;4;2;          52;           3;       1.302,00;
;;;;;;;;5;4;1;       1.066;          47;         116,90;
;;;;;;;;6;3;2;       2.235;          96;          58,90;
;;;;;;;;7;4;0;       2.142;         109;          43,20;
;;;;;;;;8;2;2;      32.721;       1.561;          14,10;
;;;;;;;;9;3;1;      44.979;       2.213;          11,40;
;;;;;;;;10;3;0;     103.188;       4.797;           9,30;
;;;;;;;;11;1;2;     164.414;       8.413;           7,00;
;;;;;;;;12;2;1;     655.921;      33.254;           5,50;
;;;;;;;;13;2;0;   1.519.654;      73.183;           3,80;
Fr. 10.03.2023;9;16;37;38;48;2;7;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           4;           1;     179.080,60;
;;;;;;;;3;5;0;           3;           1;      55.805,40;
;;;;;;;;4;4;2;          35;           2;       1.489,80;
;;;;;;;;5;4;1;         620;          19;         154,90;
;;;;;;;;6;3;2;       1.879;          78;          54,00;
;;;;;;;;7;4;0;       1.395;          71;          51,10;
;;;;;;;;8;2;2;      29.236;       1.098;          12,20;
;;;;;;;;9;3;1;      30.605;       1.301;          13,00;
;;;;;;;;10;3;0;      64.889;       2.981;          11,40;
;;;;;;;;11;1;2;     172.837;       6.066;           5,10;
;;;;;;;;12;2;1;     481.535;      19.659;           5,80;
;;;;;;;;13;2;0;     993.900;      42.929;           4,50;
Di. 14.03.2023;16;26;28;31;46;11;12;1;5;2;JP;JP;  27.135.288,30;
;;;;;;;;2;5;1;           3;           1;     176.354,00;
;;;;;;;;3;5;0;           6;           0;      20.608,40;
;;;;;;;;4;4;2;          27;           1;       1.426,40;
;;;;;;;;5;4;1;         472;          25;         150,30;
;;;;;;;;6;3;2;         890;          49;          84,20;
;;;;;;;;7;4;0;       1.289;          62;          40,80;
;;;;;;;;8;2;2;      12.806;         759;          20,50;
;;;;;;;;9;3;1;      21.120;       1.104;          13,90;
;;;;;;;;10;3;0;      59.941;       2.669;           9,10;
;;;;;;;;11;1;2;      68.655;       4.008;           9,60;
;;;;;;;;12;2;1;     299.524;      16.103;           6,90;
;;;;;;;;13;2;0;     853.081;      40.075;           3,90;
Fr. 17.03.2023;5;15;26;37;49;8;11;1;5;2;JP;JP;  40.979.052,30;
;;;;;;;;2;5;1;           7;           0;     103.234,90;
;;;;;;;;3;5;0;          10;           0;      16.889,30;
;;;;;;;;4;4;2;          31;           1;       1.696,90;
;;;;;;;;5;4;1;         741;          47;         130,70;
;;;;;;;;6;3;2;       1.409;          57;          72,70;
;;;;;;;;7;4;0;       1.816;          81;          39,60;
;;;;;;;;8;2;2;      21.143;         947;          17,00;
;;;;;;;;9;3;1;      33.206;       1.415;          12,00;
;;;;;;;;10;3;0;      77.603;       3.146;           9,60;
;;;;;;;;11;1;2;     112.699;       5.173;           8,00;
;;;;;;;;12;2;1;     478.919;      20.694;           5,90;
;;;;;;;;13;2;0;   1.136.779;      47.019;           4,00;
Di. 21.03.2023;1;9;20;29;32;2;3;1;5;2;JP;JP;  51.752.817,50;
;;;;;;;;2;5;1;           2;           0;     281.195,20;
;;;;;;;;3;5;0;           6;           0;      21.906,60;
;;;;;;;;4;4;2;          28;           1;       1.462,10;
;;;;;;;;5;4;1;         711;          32;         106,00;
;;;;;;;;6;3;2;       1.360;          78;          58,60;
;;;;;;;;7;4;0;       1.379;          64;          40,60;
;;;;;;;;8;2;2;      19.222;       1.006;          14,50;
;;;;;;;;9;3;1;      31.063;       1.417;          10,00;
;;;;;;;;10;3;0;      61.825;       2.972;           9,40;
;;;;;;;;11;1;2;     102.509;       5.234;           6,80;
;;;;;;;;12;2;1;     442.730;      20.939;           5,00;
;;;;;;;;13;2;0;     881.019;      42.701;           4,00;
