;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
So;18.3.;aufsteigend;4;13;21;24;32;45;ZZ;10;6er;JP; ;914.331,40;5er + ZZ;2;à;62.860,20;5er;117;à;1.172,20;4er + ZZ;331;à;145,00;;;;;;
;;gezogen;13;45;24;4;21;32;ZZ;10;4er;5.249;à;43,10;3er + ZZ;7.645;à;14,30;3er;83.965;à;4,70;ZZ;284.935;à;1,10;;;;;;
Mi;21.3.;aufsteigend;5;8;14;24;39;44;ZZ;42;6er;2JP;;1.964.665,60;5er + ZZ;8;à;18.052,60;5er;127;à;1.240,50;4er + ZZ;321;à;171,70;;;;;;
;;gezogen;39;14;8;44;24;5;ZZ;42;4er;6.105;à;42,50;3er + ZZ;7.861;à;16,00;3er;100.824;à;4,50;ZZ;279.616;à;1,10;;;;;;
So;25.3.;aufsteigend;6;8;10;32;44;45;ZZ;29;6er;2;à;1.693.192,10;5er + ZZ;0;à;195.486,30;5er;179;à;1.191,30;4er + ZZ;476;à;156,80;;;;;;
;;gezogen;6;44;8;45;32;10;ZZ;29;4er;8.165;à;43,00;3er + ZZ;11.536;à;14,70;3er;135.553;à;4,60;ZZ;416.447;à;1,10;;;;;;
Mi;28.3.;aufsteigend;9;19;20;21;23;44;ZZ;25;6er;1;à;1.000.000,00;5er + ZZ;4;à;73.815,80;5er;85;à;1.280,50;4er + ZZ;197;à;193,30;;;;;;
;;gezogen;19;9;23;44;21;20;ZZ;25;4er;4.265;à;42,10;3er + ZZ;5.012;à;17,30;3er;69.907;à;4,50;ZZ;195.541;à;1,10;;;;;;
So;01.4.;aufsteigend;11;12;24;26;37;43;ZZ;39;6er;1;à;1.000.000,00;5er + ZZ;5;à;24.851,90;5er;103;à;1.316,00;4er + ZZ;284;à;167,00;;;;;;
;;gezogen;37;43;11;26;12;24;ZZ;39;4er;4.761;à;46,90;3er + ZZ;6.970;à;15,50;3er;81.690;à;4,80;ZZ;252.279;à;1,10;;;;;;
Mi;04.4.;aufsteigend;6;19;30;31;36;41;ZZ;1;6er;1;à;1.000.000,00;5er + ZZ;4;à;25.258,00;5er;57;à;1.933,60;4er + ZZ;193;à;199,80;;;;;;
;;gezogen;41;36;31;30;6;19;ZZ;1;4er;3.659;à;49,70;3er + ZZ;5.551;à;15,80;3er;63.735;à;5,00;ZZ;214.724;à;1,10;;;;;;
So;08.4.;aufsteigend;6;14;16;42;43;44;ZZ;2;6er;JP;;926.214,90;5er + ZZ;3;à;42.451,50;5er;95;à;1.462,40;4er + ZZ;248;à;196,00;;;;;;
;;gezogen;14;16;44;6;43;42;ZZ;2;4er;4.572;à;50,10;3er + ZZ;6.800;à;16,30;3er;80.646;à;5,00;ZZ;278.948;à;1,10;;;;;;
Mi;11.4.;aufsteigend;1;20;24;26;30;35;ZZ;34;6er;2JP;;1.864.182,20;5er + ZZ;3;à;42.990,10;5er;75;à;1.875,90;4er + ZZ;224;à;219,80;;;;;;
;;gezogen;20;1;30;35;26;24;ZZ;34;4er;4.654;à;49,80;3er + ZZ;5.867;à;19,10;3er;82.818;à;4,90;ZZ;266.189;à;1,10;;;;;;
So;15.4.;aufsteigend;2;5;20;24;27;34;ZZ;42;6er;3JP;;3.315.186,80;5er + ZZ;2;à;99.756,50;5er;187;à;1.163,90;4er + ZZ;475;à;160,30;;;;;;
;;gezogen;34;20;24;2;27;5;ZZ;42;4er;8.757;;41,00;3er + ZZ;11.126;à;15,60;3er;142.962;à;4,40;ZZ;390.993;à;1,10;;;;;;
Mi;18.4.;aufsteigend;7;10;12;23;39;40;ZZ;32;6er;4JP;;5.022.258,20;5er + ZZ;6;à;39.120,30;5er;236;à;1.085,00;4er + ZZ;543;à;165,00;;;;;;
;;gezogen;7;10;23;40;12;39;ZZ;32;4er;10.594;à;39,80;3er + ZZ;13.744;à;14,90;3er;172.661;à;4,30;ZZ;456.349;à;1,10;;;;;;
So;22.4.;aufsteigend;26;27;32;34;37;43;ZZ;25;6er;1;à;7.354.985,50;5er + ZZ;5;à;64.150,00;5er;254;à;1.377,50;4er + ZZ;697;à;175,70;;;;;;
;;gezogen;26;32;37;34;27;43;ZZ;25;4er;12.868;à;44,80;3er + ZZ;16.213;à;17,20;3er;215.746;à;4,70;ZZ;667.782;à;1,10;;;;;;
Mi;25.4.;aufsteigend;1;30;39;41;43;45;ZZ;3;6er;JP;;728.412,90;5er + ZZ;1;à;100.156,70;5er;122;à;895,50;4er + ZZ;254;à;150,50;;;;;;
;;gezogen;30;45;39;41;1;43;ZZ;3;4er;4.107;à;43,80;3er + ZZ;6.216;à;14,00;3er;62.815;à;5,10;ZZ;258.917;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
So.;29.4.;aufsteigend;2;3;5;16;21;41;ZZ;17;6er;2;à;950.252,10;5er + ZZ;2;à;80.581,20;5er;144;à;1.220,90;4er + ZZ;419;à;146,80;;;;;;
;;gezogen;5;21;16;3;2;41;ZZ;17;4er;7.267;à;39,90;3er + ZZ;10.835;à;12,90;3er;121.979;à;4,20;ZZ;344.787;à;1,10;;;;;;
Mi;02.5.;aufsteigend;4;9;13;15;22;44;ZZ;19;6er;2;à;500.000,00;5er + ZZ;5;à;19.487,00;5er;122;à;871,20;4er + ZZ;288;à;129,10;;;;;;
;;gezogen;9;13;22;15;4;44;ZZ;19;4er;5.140;à;34,10;3er + ZZ;6.780;à;12,50;3er;74.194;à;4,20;ZZ;203.289;à;1,10;;;;;;
So;06.5.;aufsteigend;10;23;25;26;27;40;ZZ;35;6er;JP;;898.490,00;5er + ZZ;2;à;61.771,10;5er;115;à;1.171,90;4er + ZZ;256;à;184,20;;;;;;
;;gezogen;27;40;26;10;25;23;ZZ;35;4er;5.440;à;40,80;3er + ZZ;6.867;à;15,70;3er;86.769;à;4,50;ZZ;229.936;à;1,10;;;;;;
Mi;09.5.;aufsteigend;2;10;15;27;28;34;ZZ;5;6er;2JP;;1.958.011,00;5er + ZZ;5;à;29.136,80;5er;137;à;1.160,00;4er + ZZ;503;à;110,50;;;;;;
;;gezogen;10;34;2;28;27;15;ZZ;5;4er;7.269;à;36,00;3er + ZZ;10.584;à;12,00;3er;107.659;à;4,30;ZZ;322.010;à;1,10;;;;;;
So;13.5.;aufsteigend;31;32;35;36;38;43;ZZ;41;6er;1;à;3.446.143,60;5er + ZZ;4;à;51.154,50;5er;274;à;814,60;4er + ZZ;553;à;141,20;;;;;;
;;gezogen;31;43;35;32;36;38;ZZ;41;4er;8.992;à;40,90;3er + ZZ;10.507;à;16,90;3er;126.286;à;5,10;ZZ;408.881;à;1,10;;;;;;
Mi;16.5.;aufsteigend;1;9;10;22;25;32;ZZ;36;6er;JP;;777.063,70;5er + ZZ;5;à;21.369,20;5er;94;à;1.239,90;4er + ZZ;228;à;178,90;;;;;;
;;gezogen;9;10;22;1;32;25;ZZ;36;4er;4.694;à;40,90;3er + ZZ;5.690;à;16,30;3er;78.372;à;4,30;ZZ;202.246;à;1,10;;;;;;
So;20.5.;aufsteigend;3;6;15;29;30;38;ZZ;27;6er;1;à;1.888.682,60;5er + ZZ;6;à;25.474,60;5er;160;à;1.042,10;4er + ZZ;461;à;126,50;;;;;;
;;gezogen;30;38;29;3;6;15;ZZ;27;4er;7.041;à;39,00;3er + ZZ;10.440;à;12,70;3er;108.370;à;4,50;ZZ;335.150;à;1,10;;;;;;
Mi;23.5.;aufsteigend;1;13;18;29;30;33;ZZ;10;6er;1;à;1.000.000,00;5er + ZZ;3;à;33.716,30;5er;96;à;1.149,40;4er + ZZ;279;à;138,40;;;;;;
;;gezogen;18;33;13;1;30;29;ZZ;10;4er;4.171;à;43,60;3er + ZZ;6.354;à;13,80;3er;68.565;à;4,70;ZZ;227.865;à;1,10;;;;;;
So;27.5.;aufsteigend;13;19;22;30;42;45;ZZ;23;6er;JP;à;867.646,10;5er + ZZ;0;;119.301,30;5er;103;à;1.263,50;4er + ZZ;228;à;199,70;;;;;;
;;gezogen;19;42;45;30;22;13;ZZ;23;4er;4.528;à;47,40;3er + ZZ;5.883;à;17,60;3er;77.883;à;4,90;ZZ;255.904;à;1,10;;;;;;
Mi;30.5.;aufsteigend;13;17;20;23;32;34;ZZ;14;6er;1;à;1.809.353,50;5er + ZZ;0;;248.786,10;5er;97;à;1.456,20;4er + ZZ;253;à;195,40;;;;;;
;;gezogen;23;13;20;17;34;32;ZZ;14;4er;5.387;à;43,20;3er + ZZ;6.936;à;16,20;3er;88.879;à;4,60;ZZ;263.770;à;1,10;;;;;;
So;03.6.;aufsteigend;2;10;13;21;31;34;ZZ;32;6er;JP;;922.372,40;5er + ZZ;3;à;125.204,10;5er;140;à;988,20;4er + ZZ;254;à;190,60;;;;;;
;;gezogen;2;21;10;31;13;34;ZZ;32;4er;5.832;à;39,10;3er + ZZ;6.679;à;16,50;3er;90.745;à;4,40;ZZ;246.420;à;1,10;;;;;;
Mi;06.6.;aufsteigend;8;9;16;24;27;34;ZZ;21;6er;2JP;;1.980.705,80;5er + ZZ;5;à;29.104,10;5er;178;à;891,80;4er + ZZ;434;à;128,00;;;;;;
;;gezogen;24;27;9;8;34;16;ZZ;21;4er;7.868;à;33,20;3er + ZZ;9.787;à;12,90;3er;114.200;à;4,00;ZZ;304.857;à;1,10;;;;;;
So;10.6.;aufsteigend;2;7;17;21;26;41;ZZ;11;6er;3;à;1.085.056,20;5er + ZZ;7;à;25.034,00;5er;200;à;955,80;4er + ZZ;618;à;108,20;;;;;;
;;gezogen;21;41;26;2;7;17;ZZ;11;4er;8.928;à;35,30;3er + ZZ;13.754;à;11,10;3er;133.743;à;4,10;ZZ;373.459;à;1,10;;;;;;
Mi;13.6.;aufsteigend;2;8;15;17;32;45;ZZ;13;6er;JP;;735.417,20;5er + ZZ;1;à;101.119,80;5er;80;à;1.378,90;4er + ZZ;194;à;199,00;;;;;;
;;gezogen;2;32;17;15;8;45;ZZ;13;4er;4.350;à;41,80;3er + ZZ;5.449;à;16,10;3er;71.758;à;4,50;ZZ;214.475;à;1,10;;;;;;
So;17.6.;aufsteigend;8;9;12;23;35;37;ZZ;14;6er;2JP;;1.867.799,60;5er + ZZ;6;à;25.950,40;5er;119;à;1.427,30;4er + ZZ;272;à;218,50;;;;;;
;;gezogen;23;12;35;8;37;9;ZZ;14;4er;6.465;à;43,30;3er + ZZ;8.602;à;15,70;3er;108.155;à;4,60;ZZ;314.522;à;1,10;;;;;;
Mi;20.6.;aufsteigend;3;4;5;13;15;34;ZZ;44;6er;2;à;1.524.081,40;5er + ZZ;1;à;162.299,90;5er;184;à;962,20;4er + ZZ;329;à;188,30;;;;;;
;;gezogen;5;34;15;4;13;3;ZZ;44;4er;7.156;à;40,80;3er + ZZ;9.324;à;15,10;3er;120.650;à;4,30;ZZ;311.927;à;1,10;;;;;;
So;24.6.;aufsteigend;6;9;18;19;22;28;ZZ;38;6er;1;à;1.000.000,00;5er + ZZ;8;à;15.037,90;5er;177;à;741,40;4er + ZZ;363;à;126,50;;;;;;
;;gezogen;22;9;19;28;6;18;ZZ;38;4er;6.957;à;31,10;3er + ZZ;7.462;à;14,00;3er;100.581;à;3,80;ZZ;225.334;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
Mi;27.6.;aufsteigend;9;17;18;21;35;42;ZZ;19;6er;JP;;722.862,30;5er + ZZ;2;à;49.696,70;5er;98;à;1.106,40;4er + ZZ;196;à;193,60;;;;;;
;;gezogen;18;35;17;42;9;21;ZZ;19;4er;4.486;à;39,80;3er + ZZ;5.762;à;15,00;3er;71.266;à;4,40;ZZ;213.659;à;1,10;;;;;;
So;01.7.;aufsteigend;13;20;22;28;36;37;ZZ;8;6er;2JP;;1.814.372,60;5er + ZZ;3;à;50.027,50;5er;107;à;1.530,10;4er + ZZ;314;à;182,40;;;;;;
;;gezogen;22;13;28;36;20;37;ZZ;8;4er;5.408;à;49,90;3er + ZZ;8.153;à;16,00;3er;92.958;à;5,10;ZZ;344.160;à;1,10;;;;;;
Mi;04.7.;aufsteigend;6;12;16;17;19;29;ZZ;36;6er;4;à;747.559,40;5er + ZZ;6;à;26.946,90;5er;197;à;895,30;4er + ZZ;328;à;188,20;;;;;;
;;gezogen;19;6;16;12;17;29;ZZ;36;4er;8.027;à;36,20;3er + ZZ;9.036;à;15,60;3er;125.403;à;4,10;ZZ;306.941;à;1,10;;;;;;
So;08.7.;aufsteigend;3;5;19;34;41;42;ZZ;11;6er;JP;;875.199,10;5er + ZZ;1;à;120.339,80;5er;100;à;1.312,70;4er + ZZ;294;à;156,20;;;;;;
;;gezogen;5;34;3;41;19;42;ZZ;11;4er;4.787;à;45,20;3er + ZZ;7.849;à;13,30;3er;82.153;à;4,60;ZZ;272.041;à;1,10;;;;;;
Mi;11.7.;aufsteigend;9;15;17;20;24;35;ZZ;7;6er;1;à;1.892.821,60;5er + ZZ;3;à;46.641,00;5er;101;à;1.511,30;4er + ZZ;345;à;154,80;;;;;;
;;gezogen;15;9;17;24;20;35;ZZ;7;4er;5.780;à;43,50;3er + ZZ;8.749;à;13,90;3er;96.990;à;4,60;ZZ;324.195;à;1,10;;;;;;
So.;15.7.;aufsteigend;6;10;21;28;30;31;ZZ;23;6er;JP;;874.862,40;5er + ZZ;3;à;40.097,80;5er;153;à;857,70;4er + ZZ;301;à;152,50;;;;;;
;;gezogen;10;6;21;28;30;31;ZZ;23;4er;6.127;à;35,30;3er + ZZ;6.884;à;15,20;3er;92.129;à;4,10;ZZ;248.887;à;1,10;;;;;;
Mi;18.7.;aufsteigend;11;29;31;34;39;41;ZZ;16;6er;2JP;;1.892.468,00;5er + ZZ;0;;139.920,70;5er;126;à;1.211,40;4er + ZZ;350;à;152,60;;;;;;
;;gezogen;29;41;11;31;39;34;ZZ;16;4er;5.920;à;42,50;3er + ZZ;7.864;à;15,50;3er;93.826;à;4,70;ZZ;292.756;à;1,10;;;;;;
So;22.7.;aufsteigend;6;11;15;17;22;24;ZZ;37;6er;1;à;3.243.054,80;5er + ZZ;10;à;32.562,60;5er;200;à;1.012,90;4er + ZZ;358;à;198,00;;;;;;
;;gezogen;17;15;11;6;22;24;ZZ;37;4er;8.573;à;38,90;3er + ZZ;9.497;à;17,00;3er;137.877;à;4,30;ZZ;340.877;à;1,10;;;;;;
Mi;25.7.;aufsteigend;4;14;16;18;29;42;ZZ;44;6er;2;à;500.000,00;5er + ZZ;1;à;96.438,60;5er;90;à;1.168,90;4er + ZZ;249;à;147,80;;;;;;
;;gezogen;14;42;29;4;18;16;ZZ;44;4er;4.096;à;42,30;3er + ZZ;5.755;à;14,60;3er;65.356;à;4,70;ZZ;188.594;à;1,10;;;;;;
So;29.7.;aufsteigend;7;15;18;24;37;43;ZZ;6;6er;JP;;827.257,90;5er + ZZ;2;à;56.873,90;5er;85;à;1.459,80;4er + ZZ;237;à;183,20;;;;;;
;;gezogen;15;37;43;24;7;18;ZZ;6;4er;4.443;à;46,00;3er + ZZ;6.186;à;16,00;3er;71.066;à;5,10;ZZ;264.511;à;1,10;;;;;;
Mi;01.8.;aufsteigend;1;7;9;32;34;43;ZZ;29;6er;2JP;;1.802.689,90;5er + ZZ;4;à;33.530,40;5er;88;à;1.662,60;4er + ZZ;277;à;184,80;;;;;;
;;gezogen;1;32;9;43;7;34;ZZ;29;4er;5.259;à;45,90;3er + ZZ;7.572;à;15,40;3er;92.794;à;4,60;ZZ;277.141;à;1,10;;;;;;
So;05.8.;aufsteigend;1;5;19;21;38;39;ZZ;15;6er;3JP;;3.141.585,00;5er + ZZ;4;à;46.024,50;5er;168;à;1.195,40;4er + ZZ;416;à;168,90;;;;;;
;;gezogen;39;5;1;19;21;38;ZZ;15;4er;7.582;à;43,70;3er + ZZ;10.426;à;15,40;3er;128.813;à;4,50;ZZ;377.764;à;1,10;;;;;;
Mi;08.8.;aufsteigend;2;5;17;19;37;45;Zz;36;6er;4JP;;4.777.585,00;5er + ZZ;5;à;44.989,90;5er;210;à;1.168,50;4er + ZZ;482;à;178,10;;;;;;
;;gezogen;5;19;37;17;45;2;ZZ;36;4er;10.617;à;38,10;3er + ZZ;12.255;à;16,00;3er;163.438;à;4,40;ZZ;446.878;à;1,10;;;;;;
So;12.8.;aufsteigend;12;29;30;35;37;44;ZZ;36;6er;5JP;;6.872.503,70;5er + ZZ;3;à;96.017,10;5er;211;à;1.489,20;4er + ZZ;559;à;196,70;;;;;;
;;gezogen;30;37;35;44;29;12;ZZ;36;4er;10.417;à;49,70;3er + ZZ;14.082;à;17,80;3er;180.814;à;5,00;ZZ;579.448;à;1,10;;;;;;
Mi;15.8.;aufsteigend;3;9;14;33;41;44;ZZ;6;6er;1;à;9.437.932,50;5er + ZZ;13;à;27.134,30;5er;338;à;1.138,50;4er + ZZ;940;à;143,20;;;;;;
;;gezogen;3;9;14;33;44;41;ZZ;6;4er;16.468;à;38,50;3er + ZZ;21.635;à;14,20;3er;256.192;à;4,40;ZZ;748.674;à;1,10;;;;;;
So;19.8.;aufsteigend;4;13;15;30;36;38;ZZ;26;6er;JP;;899.601,40;5er + ZZ;2;à;61.847,50;5er;90;à;1.499,30;4er + ZZ;263;à;179,50;;;;;;
;;gezogen;36;15;4;38;30;13;ZZ;26;4er;4.482;à;49,60;3er + ZZ;7.266;à;14,80;3er;77.403;à;5,10;ZZ;268.920;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
Mi;22.8.;aufsteigend;1;16;25;30;38;44;ZZ;31;6er;1;à;1.954.336,70;5er + ZZ;3;à;48.342,00;5er;112;à;1.412,50;4er + ZZ;239;à;231,60;;;;;;
;;gezogen;16;30;1;25;38;44;ZZ;31;4er;5.240;à;49,80;3er + ZZ;6.563;à;19,20;3er;88.551;à;5,20;ZZ;288.879;à;1,10;;;;;;
So;26.8.;aufsteigend;8;18;23;24;29;37;ZZ;6;6er;JP;;877.525,40;5er + ZZ;2;à;60.329,80;5er;78;à;1.687,50;4er + ZZ;257;à;179,20;;;;;;
;;gezogen;8;24;29;23;18;37;ZZ;6;4er;4.519;à;48,00;3er + ZZ;6.946;à;15,10;3er;76.956;à;5,00;ZZ;274.477;à;1,10;;;;;;
Mi;29.8.;aufsteigend;13;23;31;37;40;45;ZZ;2;6er;2JP;;1.915.070,20;5er + ZZ;6;à;23.777,00;5er;114;à;1.365,10;4er + ZZ;256;à;212,70;;;;;;
;;gezogen;45;31;37;40;23;13;ZZ;2;4er;5.335;à;48,10;3er + ZZ;7.267;à;17,10;3er;89.466;à;5,10;ZZ;326.965;à;1,10;;;;;;
So;02.9.;aufsteigend;7;24;27;40;43;44;ZZ;13;6er;3JP;;3.345.723,80;5er + ZZ;4;à;49.178,70;5er;163;à;1.316,50;4er + ZZ;462;à;162,50;;;;;;
;;gezogen;40;43;44;27;24;7;ZZ;13;4er;7.965;à;44,40;3er + ZZ;11.981;à;14,30;3er;135.363;à;4,60;ZZ;398.511;à;1,10;;;;;;
Mi;05.9.;aufsteigend;9;15;19;27;30;33;ZZ;37;6er;2;à;2.476.013,70;5er + ZZ;3;à;73.622,20;5er;205;à;1.175,30;4er + ZZ;527;à;160,00;;;;;;
;;gezogen;15;33;9;19;30;27;ZZ;37;4er;11.628;à;34,10;3er + ZZ;12.037;à;16,00;3er;168.222;à;4,20;ZZ;402.792;à;1,10;;;;;;
So;09.9.;aufsteigend;1;5;18;24;39;40;ZZ;45;6er;JP;;902.162,10;5er + ZZ;0;;124.047,20;5er;103;à;1.313,80;4er + ZZ;278;à;170,30;;;;;;
;;gezogen;5;1;40;18;39;24;ZZ;45;4er;4.646;à;48,00;3er + ZZ;6.584;à;16,40;3er;81.019;à;4,80;ZZ;240.124;à;1,10;;;;;;
Mi;12.9.;aufsteigend;4;10;16;17;27;39;ZZ;25;6er;2JP;;2.006.411,00;5er + ZZ;5;à;55.176,30;5er;183;à;905,10;4er + ZZ;366;à;158,30;;;;;;
;;gezogen;17;10;16;4;27;39;ZZ;25;4er;8.021;à;34,00;3er + ZZ;8.917;à;14,80;3er;121.007;à;4,00;ZZ;287.292;à;1,10;;;;;;
So;16.9.;aufsteigend;19;26;27;30;31;43;ZZ;6;6er;3JP;;3.435.327,60;5er + ZZ;2;à;98.238,00;5er;165;à;1.299,00;4er + ZZ;387;à;193,80;;;;;;
;;gezogen;19;43;31;26;27;30;ZZ;6;4er;7.720;à;45,80;3er + ZZ;11.428;à;15,00;3er;129.305;à;4,80;ZZ;431.976;à;1,10;;;;;;
Mi;19.9.;aufsteigend;9;19;23;26;27;32;ZZ;31;6er;4JP;;5.066.424,60;5er + ZZ;5;à;44.855,10;5er;203;à;1.205,20;4er + ZZ;489;à;175,10;;;;;;
;;gezogen;23;32;9;26;27;19;ZZ;31;4er;10.451;à;38,60;3er + ZZ;12.575;;15,50;3er;167.582;à;4,20;ZZ;430.192;à;1,10;;;;;;
So;23.9.;aufsteigend;8;13;14;17;32;41;ZZ;21;6er;1;à;7.205.587,00;5er + ZZ;3;à;98.044,90;5er;224;à;1.432,40;4er + ZZ;804;à;139,60;;;;;;
;;gezogen;8;13;32;41;14;17;ZZ;21;4er;12.366;à;42,80;3er + ZZ;19.553;à;13,10;3er;201.536;à;4,60;ZZ;627.134;à;1,10;;;;;;
Mi;26.9.;aufsteigend;6;10;37;40;41;42;ZZ;44;6er;JP;;750.928,20;5er + ZZ;2;à;51.626,30;5er;72;à;1.564,40;4er + ZZ;204;à;193,20;;;;;;
;;gezogen;41;42;10;40;37;6;ZZ;44;4er;3.886;à;47,80;3er + ZZ;6.470;à;13,90;3er;62.934;à;5,20;ZZ;204.328;à;1,10;;;;;;
So;30.9.;aufsteigend;14;22;31;36;37;39;ZZ;6;6er;2JP;;1.968.006,00;5er + ZZ;3;à;55.782,70;5er;127;à;1.437,40;4er + ZZ;315;à;202,80;;;;;;
;;gezogen;37;22;39;36;14;31;ZZ;6;4er;6.493;à;46,30;3er + ZZ;8.707;à;16,70;3er;104.732;à;5,10;ZZ;398.143;à;1,10;;;;;;
Mi;03.10.;aufsteigend;28;30;34;38;42;43;ZZ;45;6er;3JP;;3.266.088,70;5er + ZZ;4;à;44.621,50;5er;134;à;1.453,00;4er + ZZ;424;à;160,70;;;;;;
;;gezogen;43;42;34;38;30;28;ZZ;45;4er;6.810;à;47,10;3er + ZZ;9.890;à;15,70;3er;115.525;à;4,90;ZZ;366.481;à;1,10;;;;;;
So;07.10.;aufsteigend;8;16;33;35;42;44;ZZ;29;6er;4JP;;5.015.435,50;5er + ZZ;10;à;24.053,50;5er;241;à;1.088,80;4er + ZZ;667;à;137,60;;;;;;
;;gezogen;16;8;42;44;35;33;ZZ;29;4er;10.856;à;39,80;3er + ZZ;14.496;à;14,40;3er;166.360;à;4,60;ZZ;515.910;à;1,10;;;;;;
Mi;10.10.;aufsteigend;14;20;24;28;30;39;ZZ;9;6er;5JP;;7.085.828,40;5er + ZZ;2;à;142.339,50;5er;218;à;1.424,50;4er + ZZ;694;à;156,60;;;;;;
;;gezogen;24;30;14;28;20;39;ZZ;9;4er;11.712;à;43,70;3er + ZZ;17.611;à;14,10;3er;190.521;à;4,70;ZZ;655.294;à;1,10;;;;;;
So;14.10.;aufsteigend;8;12;20;22;24;40;ZZ;41;6er;4;à;2.499.764,50;5er + ZZ;9;à;44.507,60;5er;484;à;902,80;4er + ZZ;856;à;178,60;;;;;;
;;gezogen;12;8;24;40;22;20;ZZ;41;4er;19.414;à;37,10;3er + ZZ;21.562;à;16,20;3er;297.289;à;4,30;ZZ;807.376;à;1,10;;;;;;
Mi;17.10.;aufsteigend;7;13;18;25;33;44;ZZ;41;6er;JP;;781.732,60;5er + ZZ;7;à;15.355,40;5er;108;à;1.085,70;4er + ZZ;271;à;151,40;;;;;;
;;gezogen;44;33;7;13;18;25;ZZ;41;4er;4.801;à;40,20;3er + ZZ;5.983;à;15,60;3er;75.179;à;4,50;ZZ;205.174;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
So;21.10.;aufsteigend;2;3;5;10;14;43;ZZ;32;6er;1;à;2.016.447,10;5er + ZZ;3;à;56.591,00;5er;176;à;1.052,30;4er + ZZ;367;à;176,60;;;;;;
;;gezogen;14;3;43;2;10;5;ZZ;32;4er;8.140;à;37,50;3er + ZZ;9.762;à;15,10;3er;134.885;à;4,00;ZZ;329.847;à;1,10;;;;;;
