;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
So;16.1.;aufsteigend;1;2;10;11;15;16;ZZ;25;6er;1;à;3.987.712,80;5er + ZZ;4;à;57.801,70;5er;260;à;970,00;4er + ZZ;539;à;163,70;;;;;;
;;gezogen;10;11;2;16;1;15;ZZ;25;4er;11.378;à;36,50;3er + ZZ;13.758;à;14,60;3er;169.933;à;4,30;ZZ;435.957;à;1,10;;;;;;
Mi;19.1.;aufsteigend;3;19;23;35;43;44;ZZ;24;6er;JP;;869.805,00;5er + ZZ;1;à;119.598.10;5er;92;à;1.418,10;4er + ZZ;206;à;221,60;;;;;;
;;gezogen;43;19;35;44;3;23;ZZ;24;4er;5.041;à;42,70;3er + ZZ;6.088;à;17,10;3er;83.756;à;4,50;ZZ;243.847;à;1,10;;;;;;
So;23.1.;aufsteigend;2;13;33;37;41;45;ZZ;12;6er;3;à;736.185,10;5er + ZZ;4;à;46.019,50;5er;167;à;1.202,40;4er + ZZ;392;à;179,20;;;;;;
;;gezogen;2;41;13;45;37;33;ZZ;12;4er;7.790;à;42,50;3er + ZZ;9.958;à;16,10;3er;121.932;à;4,80;ZZ;420.988;à;1,10;;;;;;
Mi;26.1.;aufsteigend;8;10;19;22;34;44;ZZ;21;6er;JP;;829.704,00;5er + ZZ;5;à;22.816,80;5er;114;à;1.091,70;4er + ZZ;308;à;141,40;;;;;;
;;gezogen;22;19;44;8;10;34;ZZ;21;4er;5.395;à;38,00;3er + ZZ;7.066;à;14,00;3er;82.948;à;4,40;ZZ;247.235;à;1,10;;;;;;
So;30.1.;aufsteigend;2;10;15;19;37;41;ZZ;13;6er;2JP;;2.143.242,70;5er + ZZ;3;à;60.203,80;5er;130;à;1.515,60;4er + ZZ;349;à;197,50;;;;;;
;;gezogen;19;41;37;2;15;10;ZZ;13;4er;7.268;à;44,70;3er + ZZ;10.073;à;15,60;3er;120.752;à;4,70;ZZ;381.716;à;1,10;;;;;;
Mi;2.2.;aufsteigend;3;16;19;22;23;28;ZZ;24;6er;1;à;3.740.344,60;5er + ZZ;5;à;43.920,30;5er;183;à;1.309,00;4er + ZZ;455;à;184,20;;;;;;
;;gezogen;28;16;22;3;23;19;ZZ;24;4er;9.654;à;40,90;3er + ZZ;12.554;à;15,20;3er;161.547;à;4,30;ZZ;439.316;à;1,10;;;;;;
So;6.2.;aufsteigend;1;2;10;26;27;34;ZZ;16;6er;JP;;977.020,80;5er + ZZ;2;à;67.170,10;5er;139;à;1.054,30;4er + ZZ;335;à;153,10;;;;;;
;;gezogen;10;34;1;26;27;2;ZZ;16;4er;6.116;à;39,50;3er + ZZ;9.117;à;12,80;3er;100.361;à;4,20;ZZ;260.675;à;1,10;;;;;;
Mi;9.2.;aufsteigend;2;4;9;11;17;24;ZZ;16;6er;1;à;2.279.514,70;5er + ZZ;7;à;25.584,70;5er;278;à;702,70;4er + ZZ;538;à;127,10;;;;;;
;;gezogen;17;11;4;2;24;9;ZZ;16;4er;10.736;à;30,00;3er + ZZ;11.813;à;13,20;3er;150.030;à;3,80;ZZ;362.502;à;1,10;;;;;;
So;13.2.;aufsteigend;6;17;34;39;40;43;ZZ;29;6er;JP;;960.585,90;5er + ZZ;1;à;132.080,50;5er;123;à;1.171,40;4er + ZZ;313;à;161,10;;;;;;
;;gezogen;17;43;39;40;6;34;ZZ;29;4er;5.066;à;46,90;3er + ZZ;8.025;à;14,30;3er;88.981;à;4,70;ZZ;277.324;à;1,10;;;;;;
Mi;16.2.;aufsteigend;1;18;21;24;27;45;ZZ;10;6er;2JP;;2.221.676,20;5er + ZZ;4;à;43.349,90;5er;142;à;1.332,10;4er + ZZ;465;à;142,30;;;;;;
;;gezogen;18;24;27;21;1;45;ZZ;10;4er;7.255;à;43,00;3er + ZZ;11.121;à;13,60;3er;115.725;à;4,70;ZZ;382.983;à;1,10;;;;;;
So;20.2.;aufsteigend;3;8;20;37;38;44;ZZ;45;6er;3JP;;3.840.698,10;5er + ZZ;2;à;111.307,70;5er;167;à;1.454,20;4er + ZZ;453;à;187,60;;;;;;
;;gezogen;37;20;8;44;38;3;ZZ;45;4er;8.753;à;45,70;3er + ZZ;11.555;à;16,80;3er;147.505;à;4,80;ZZ;445.843;à;1,10;;;;;;
Mi;23.2.;aufsteigend;3;13;17;20;28;29;ZZ;15;6er;4JP;;5.820.590,20;5er + ZZ;9;à;30.248,30;5er;297;à;999,90;4er + ZZ;668;à;155,60;;;;;;
;;gezogen;3;28;20;29;13;17;ZZ;15;4er;13.324;à;36,70;3er + ZZ;16.797;à;14,10;3er;208.101;à;4,10;ZZ;552.982;à;1,10;;;;;;
So.;27.2.;aufsteigend;21;22;25;28;41;45;ZZ;31;6er;1;à;8.842.084,10;5er + ZZ;4;à;103.863,80;5er;356;à;1.273,10;4er + ZZ;795;à;199,50;;;;;;
;;gezogen;21;28;41;22;45;25;ZZ;31;4er;16.110;à;46,40;3er + ZZ;21.455;à;16,80;3er;272.877;à;4,80;ZZ;821.637;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
Mi;2.3.;aufsteigend;3;11;17;25;28;42;ZZ;32;6er;1;à;1.000.000,00;5er + ZZ;2;à;58.511,60;5er;146;à;874,30;4er + ZZ;306;à;146,00;;;;;;
;;gezogen;17;25;11;3;42;28;ZZ;32;4er;6.045;à;34,80;3er + ZZ;6.923;à;14,70;3er;92.328;à;4,00;ZZ;223.851;à;1,10;;;;;;
So;6.3.;aufsteigend;4;16;19;32;36;37;ZZ;3;6er;JP;;1.016.821,30;5er + ZZ;2;à;69.906,40;5er;100;à;1.525,20;4er + ZZ;245;à;217,80;;;;;;
;;gezogen;19;36;32;4;37;16;ZZ;3;4er;5.157;à;48,80;3er + ZZ;7.271;à;16,70;3er;87.822;à;5,00;ZZ;361.361;à;1,10;;;;;;
Mi;9.3.;aufsteigend;12;17;20;22;27;44;ZZ;10;6er;2JP;;2.259.474,50;5er + ZZ;3;à;56.954,90;5er;168;à;1.109,50;4er + ZZ;426;à;153,10;;;;;;
;;gezogen;27;44;20;22;12;17;ZZ;10;4er;8.006;à;38,40;3er + ZZ;11.327;à;13,10;3er;119.653;à;4,50;ZZ;368.409;à;1,10;;;;;;
So;13.3.;aufsteigend;9;14;20;25;37;42;ZZ;8;6er;3JP;;3.924.931,20;5er + ZZ;13;à;17.615,40;5er;166;à;1.504,90;4er + ZZ;415;à;210,60;;;;;;
;;gezogen;25;9;37;20;14;42;ZZ;8;4er;8.022;à;51,30;3er + ZZ;11.327;à;17,60;3er;139.666;à;5,20;ZZ;538.447;à;1,10;;;;;;
Mi;16.3.;aufsteigend;6;18;19;20;24;26;ZZ;37;6er;2;à;2.910.823,40;5er + ZZ;6;à;43.466,30;5er;221;à;1.287,30;4er + ZZ;528;à;188,50;;;;;;
;;gezogen;20;6;18;24;26;19;ZZ;37;4er;10.934;à;42,90;3er + ZZ;12.374;à;18,30;3er;181.995;à;4,50;ZZ;483.825;à;1,10;;;;;;
So;20.3.;aufsteigend;7;8;22;24;29;41;ZZ;30;6er;2;à;504.174,60;5er + ZZ;2;à;69.324,00;5er;128;à;1.181,60;4er + ZZ;286;à;185,00;;;;;;
;;gezogen;8;29;41;24;22;7;ZZ;30;4er;5.779;à;43,10;3er + ZZ;7.872;à;15,30;3er;99.934;à;4,40;ZZ;275.306;à;1,10;;;;;;
Mi;23.3.;aufsteigend;1;2;9;24;35;37;ZZ;12;6er;JP;;799.259,50;5er + ZZ;0;;109.898,10;5er;81;à;1.480,10;4er + ZZ;233;à;180,00;;;;;;
