Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
03.04.;;;;;;;;;;4er;           4.556;à;              38,80;3er + ZZ;           5.278;à;              15,00;3er;          68.130;à;               4,60;ZZ;         205.570;à;               1,20;
06.04.;aufsteigend;10;39;41;42;43;44;ZZ;25;6er;JP;;         595.308,70;5er + ZZ;               2;à;          40.927,40;5er;             158;à;             565,10;4er + ZZ;             165;à;             162,30;
06.04.;;;;;;;;;;4er;           4.059;à;              36,60;3er + ZZ;           3.513;à;              19,00;3er;          47.023;à;               5,70;ZZ;         151.020;à;               1,20;
08.04.;aufsteigend;4;5;17;18;32;34;ZZ;41;6er;DJP;;       1.226.169,00;5er + ZZ;               4;à;          21.685,80;5er;              80;à;           1.182,80;4er + ZZ;             168;à;             168,90;
08.04.;;;;;;;;;;4er;           3.229;à;              48,80;3er + ZZ;           4.258;à;              16,60;3er;          55.667;à;               5,10;ZZ;         148.191;à;               1,20;
10.04.;aufsteigend;3;14;19;24;26;44;ZZ;34;6er;3JP;;       1.919.427,60;5er + ZZ;               1;à;          95.323,00;5er;              68;à;           1.529,20;4er + ZZ;             240;à;             129,90;
10.04.;;;;;;;;;;4er;           3.714;à;              46,60;3er + ZZ;           5.586;à;              13,90;3er;          62.071;à;               5,00;ZZ;         164.457;à;               1,20;
13.04.;aufsteigend;2;7;31;32;41;42;ZZ;24;6er;4JP;;       2.812.258,20;5er + ZZ;               1;à;         122.764,20;5er;              75;à;           1.785,60;4er + ZZ;             245;à;             163,90;
13.04.;;;;;;;;;;4er;           4.264;à;              52,30;3er + ZZ;           5.917;à;              16,90;3er;          71.375;à;               5,60;ZZ;         230.995;à;               1,20;
17.04.;aufsteigend;10;25;30;38;39;41;ZZ;27;6er;5JP;;       4.023.591,50;5er + ZZ;               2;à;          83.279,10;5er;             123;à;           1.477,20;4er + ZZ;             315;à;             173,00;
17.04.;;;;;;;;;;4er;           5.708;à;              53,00;3er + ZZ;           8.448;à;              16,10;3er;          98.600;à;               5,50;ZZ;         345.841;à;               1,20;
20.04.;aufsteigend;10;14;17;22;23;32;ZZ;34;6er;6JP;;       5.257.828,00;5er + ZZ;               3;à;          56.569,10;5er;             154;à;           1.202,10;4er + ZZ;             448;à;             123,90;
