100,26,33,44,73,85
101,3,28,62,76,90
102,10,39,65,70,90
103,13,17,34,50,61
104,40,42,45,50,86
105,3,20,36,41,55
106,6,32,39,44,76
107,29,34,69,86,89
108,15,32,73,78,83
109,1,36,51,59,62
110,3,9,26,39,86
111,32,45,51,73,75
112,5,50,53,55,56
113,26,45,48,78,79
114,11,24,30,45,66
115,3,9,19,41,55
116,22,34,52,63,85
117,19,23,45,57,78
118,19,32,34,37,39
119,7,45,65,86,88
120,11,14,22,48,85
121,2,19,27,29,86
122,7,37,39,67,72
123,4,7,28,58,77
124,38,43,48,64,75
125,15,32,42,54,75
126,8,13,30,61,68
127,15,37,65,68,73
128,3,62,71,77,78
129,1,12,54,55,67
130,4,15,48,64,88
131,3,12,27,38,47
132,20,36,54,72,76
133,8,23,72,80,90
134,5,24,28,34,58
135,2,24,61,75,85
136,11,15,16,27,60
137,34,50,55,63,66
138,8,25,72,80,90
139,12,13,28,45,49
140,17,18,55,59,67
141,13,42,51,82,89
142,1,16,58,76,87
143,12,32,48,75,88
144,19,21,26,37,88
145,16,53,66,68,69
146,2,14,15,43,65
147,5,8,12,16,68
148,5,18,31,44,80
149,18,31,56,68,83
150,32,36,55,64,68
151,2,23,29,62,87
152,30,54,55,81,89
153,30,57,58,61,86
154,8,47,50,87,89
155,34,45,66,84,87
156,1,25,64,71,83
157,35,45,50,62,65
158,31,57,66,80,83
159,20,33,39,50,64
160,40,48,59,60,64
161,12,20,30,41,77
162,37,52,54,81,89
163,13,15,17,23,37
164,16,31,58,75,77
165,28,41,52,57,86
166,6,22,49,64,65
167,5,18,63,76,80
168,3,8,23,51,56
169,18,23,56,57,73
170,48,54,63,82,88
171,4,27,53,67,68
172,31,44,46,71,84
173,2,29,53,70,82
174,28,34,54,62,84
175,15,17,63,72,90
176,9,15,29,49,83
177,5,20,67,71,83
178,17,19,37,61,70
179,4,6,10,45,59
180,11,12,49,64,68
181,17,20,41,45,85
182,2,14,24,36,54
183,9,29,56,70,82
184,14,33,60,78,83
185,14,31,39,41,71
186,35,59,74,83,89
187,40,62,63,75,83
188,4,10,21,45,81
189,28,41,43,44,46
190,4,12,16,39,90
191,1,15,61,79,87
192,24,37,40,43,50
193,15,21,67,75,81
194,16,25,26,50,75
195,12,21,24,33,88
196,1,6,27,28,54
197,27,32,37,73,85
198,4,10,24,55,77
199,1,12,16,43,56
200,22,28,59,72,89
201,26,31,35,65,87
202,1,23,29,58,84
203,22,33,47,51,66
204,1,15,25,46,63
205,6,22,71,88,90
206,11,30,36,67,83
207,1,14,68,75,76
208,14,21,53,60,90
209,6,27,31,47,84
210,17,45,53,86,87
211,15,20,22,28,65
212,7,17,42,53,76
213,4,13,58,74,79
214,3,27,72,75,78
215,32,55,61,73,88
216,11,27,46,48,87
217,37,38,58,59,68
218,2,8,18,25,65
219,8,24,38,68,78
220,45,67,79,86,88
221,3,17,34,50,89
222,5,7,36,76,82
223,4,8,25,57,65
224,3,18,43,55,74
225,16,26,28,46,49
226,4,7,47,53,75
227,1,25,26,50,66
228,24,45,54,65,76
229,12,19,20,43,61
230,3,64,73,78,84
231,15,18,22,33,90
232,15,70,76,77,87
233,3,8,49,68,76
234,9,13,27,81,87
235,9,20,44,50,70
236,6,22,28,42,49
237,13,25,35,39,44
238,38,43,48,53,69
239,14,28,30,52,84
240,1,3,43,67,68
241,4,12,31,59,61
242,28,29,48,65,86
243,7,27,42,66,80
244,17,37,43,66,68
245,4,27,30,41,56
246,1,42,48,86,88
247,10,13,15,31,38
248,4,12,24,68,84
249,4,17,46,78,83
250,19,41,43,61,75
