5,9,11,16,23,35
4,10,16,18,25,32
15,18,19,26,35,36
12,20,30,35,42,43
5,8,19,23,36,39
3,5,12,27,36,44
18,21,24,38,41,42
6,13,25,31,38,44
9,11,16,26,31,41
5,12,36,38,39,45
1,15,28,42,43,44
5,23,26,27,37,40
3,11,23,29,39,44
6,7,9,20,28,30
8,17,33,36,38,44
5,22,23,27,37,45
3,4,7,17,39,44
4,5,20,22,31,39
1,2,3,16,24,44
6,8,18,33,42,45
3,6,11,16,25,43
11,14,20,37,38,41
4,10,12,31,34,44
3,10,13,18,26,36
15,29,31,42,44,45
2,14,26,30,38,39
4,16,17,20,25,43
5,9,20,21,26,42
4,9,12,17,32,43
5,26,30,31,32,33
3,4,6,30,36,39
1,11,15,22,26,36
12,23,28,33,40,41
1,4,6,15,18,32
13,20,26,41,43,45
2,5,11,41,43,44
2,10,12,33,35,39
3,11,12,23,28,38
8,16,23,25,26,28
11,15,16,18,29,34
10,14,21,32,34,45
4,8,26,27,28,44
7,13,27,31,32,44
4,18,19,21,25,36
3,7,11,18,22,34
4,13,14,24,27,31
12,16,18,25,28,34
12,20,28,37,40,42
21,25,26,28,34,40
4,9,10,13,18,31
1,12,20,36,41,42
8,11,18,24,27,37
9,12,17,20,28,45
3,11,12,16,28,39
1,7,13,39,44,45
4,15,30,35,38,45
10,17,18,25,29,36
10,16,28,31,36,37
1,3,15,22,27,32
1,3,5,6,35,42
4,16,26,31,34,40
8,17,18,33,42,45
11,15,18,21,32,44
4,11,16,32,41,45
3,6,9,22,24,38
1,3,7,26,27,35
23,24,31,35,36,42
16,17,18,23,26,44
3,30,32,34,37,39
3,4,17,23,25,32
1,16,18,23,27,45
5,26,31,32,37,41
5,9,15,33,34,42
3,12,19,26,32,40
3,4,8,14,31,38
17,22,27,35,36,39
11,21,34,37,40,43
4,11,15,34,36,39
7,11,18,22,26,34
20,22,30,34,40,43
3,8,18,23,32,41
5,6,14,19,26,30
4,8,11,21,39,45
3,6,8,11,32,39
2,7,11,22,28,39
10,14,16,27,30,40
3,7,9,13,17,26
5,16,18,24,34,42
4,7,9,10,19,42
10,15,22,35,43,45
3,11,19,25,28,38
1,3,5,10,39,40
4,8,10,15,18,35
1,4,5,8,28,29
6,17,26,28,36,45
18,28,31,35,44,45
7,16,20,31,38,41
1,4,5,24,42,45
12,16,29,34,35,45
7,16,25,30,33,39
18,22,36,40,42,45
10,13,15,26,33,39
5,15,26,32,33,35
11,14,24,27,28,34
4,10,12,20,40,41
1,4,6,9,23,42
17,19,22,24,29,43
5,11,12,19,21,41
10,12,16,27,39,42
7,12,23,24,31,38
16,18,19,24,28,32
3,6,14,35,40,42
2,10,12,13,26,28
3,23,24,34,36,39
1,8,21,31,33,39
8,11,15,16,20,30
3,17,18,32,38,43
1,7,19,22,36,42
1,12,28,36,40,41
4,13,15,29,33,39
19,20,21,28,30,45
2,25,27,39,40,42
13,15,19,26,30,44
2,4,9,12,13,16
3,7,8,16,23,25
5,7,26,33,37,44
9,12,21,26,29,37
4,6,25,29,30,35
2,6,13,37,39,43
16,21,25,33,35,42
1,7,12,33,37,42
2,7,8,12,14,29
4,25,30,33,34,43
12,15,19,22,37,39
8,11,12,17,23,24
8,12,22,28,38,44
7,20,27,32,43,44
4,11,20,22,23,40
2,6,10,14,34,38
7,9,22,28,31,38
3,14,26,27,28,30
8,19,24,29,44,45
4,16,17,18,37,42
2,5,25,28,35,37
5,13,20,26,31,40
